model,price,std_error,ci_low,ci_high,discounted_payoff_std,n_paths,avg_stress_fraction
Constant correlation,17.206951976873544,0.9136430825343692,15.41621153510618,18.99769241864091,28.891931092658105,1000,
Regime switching,17.65109521805786,0.990562937795538,15.709591859978607,19.592598576137117,31.324350491815895,1000,0.1368333333333333
Constant correlation,17.393679584752455,0.6086276253445445,16.20076943907715,18.58658973042776,30.431381267227227,2500,
Regime switching,17.032490610624368,0.611621384528875,15.833712696947773,18.231268524300962,30.581069226443752,2500,0.13873333333333332
Constant correlation,17.356410722684803,0.44571828019039306,16.482802893511632,18.230018551857974,31.517041842143257,5000,
Regime switching,18.40904846414944,0.4521886678311719,17.522758675200343,19.295338253098535,31.97456733991329,5000,0.1372
Constant correlation,18.15680397630958,0.3186864580664933,17.53217851849925,18.781429434119907,31.86864580664933,10000,
Regime switching,17.545141995705045,0.30678115868990974,16.943850924672823,18.146433066737266,30.67811586899097,10000,0.13505
Constant correlation,17.98750801317211,0.22714651481662168,17.542300844131532,18.43271518221269,32.123368189944756,20000,
Regime switching,17.346746512105362,0.2207361467068307,16.914103664559974,17.77938935965075,31.21680523787772,20000,0.13667916666666666
